date,open,high,low,close,volume
2026-03-06,55.640,56.380,55.090,55.560,17833248
2026-03-09,55.000,55.180,53.700,54.190,20990623
2026-03-10,54.000,54.930,54.000,54.390,15571621
2026-03-11,54.390,54.450,53.790,53.870,16096169
2026-03-12,53.890,53.960,52.900,52.950,16830000
2026-03-13,52.770,52.960,51.400,51.660,21728454
2026-03-16,51.680,51.850,50.820,51.000,16244152
2026-03-17,51.020,51.210,50.320,50.500,14972119
2026-03-18,50.500,50.890,49.800,50.870,15843814
2026-03-19,50.480,50.690,49.440,49.490,13801886
2026-03-20,49.400,49.690,47.420,47.580,27270878
2026-03-23,46.660,49.200,46.210,47.400,31287845
2026-03-24,47.950,48.340,47.260,47.810,14657209
2026-03-25,47.870,49.150,47.710,49.000,19682943
2026-03-26,48.890,48.890,47.500,47.760,13301719
2026-03-27,47.000,48.060,46.890,47.820,8931376
2026-03-30,47.630,48.500,47.320,48.120,10187572
2026-03-31,48.750,50.440,48.750,49.100,27735443
2026-04-01,49.620,49.700,48.600,49.020,14644616
2026-04-02,49.020,49.180,47.860,48.300,13235936
2026-04-03,48.330,48.520,47.800,48.260,9179928
2026-04-07,48.400,48.450,47.430,47.680,9279222
2026-04-08,48.140,49.100,48.030,48.980,15819804
2026-04-09,48.480,48.660,47.610,47.800,16407707
2026-04-10,47.800,49.090,47.790,48.720,18378432
2026-04-13,48.880,52.180,48.880,51.680,44573140
2026-04-14,51.050,51.470,50.910,51.390,26314736
2026-04-15,51.950,52.080,50.490,50.660,21684179
2026-04-16,50.660,50.940,50.100,50.500,16125163
2026-04-17,50.510,51.400,50.210,50.930,20292476
2026-04-20,51.000,51.150,50.490,50.820,22106399
2026-04-21,50.700,50.950,49.880,49.950,17692401
2026-04-22,49.780,49.960,49.280,49.800,17376271
2026-04-23,49.850,50.200,48.910,49.330,22199544
2026-04-24,49.340,49.350,48.330,48.420,14948448
2026-04-27,48.450,48.990,48.040,48.560,15585281
2026-04-28,48.230,48.550,47.810,48.050,13624316
2026-04-29,46.500,47.480,46.240,47.180,24259150
2026-04-30,47.100,47.470,46.800,46.970,16232750
2026-05-06,47.890,48.530,47.890,48.220,22678799
2026-05-07,48.220,48.230,47.700,48.000,16772645
2026-05-08,48.550,49.820,48.450,49.700,40173637
2026-05-11,50.450,50.450,49.200,49.370,30974093
2026-05-12,49.380,50.970,48.280,49.910,42243806
2026-05-13,49.670,49.680,48.700,49.070,24026526
2026-05-14,49.100,49.100,47.800,47.900,21465047
2026-05-15,47.780,47.890,47.130,47.290,16193306
2026-05-18,47.300,47.630,46.410,46.630,16721149
2026-05-19,46.830,47.120,46.510,47.100,10973174
2026-05-20,46.800,46.990,45.880,45.890,18797478
2026-05-21,45.900,46.330,45.800,45.960,15323536
2026-05-22,45.990,46.260,45.270,45.440,16076209
2026-05-25,45.450,45.450,44.000,44.220,23745053
2026-05-26,44.000,44.280,43.250,43.640,17710180
2026-05-27,43.570,43.920,42.600,42.680,14727155
2026-05-28,42.630,43.220,42.380,42.830,10842108
2026-05-29,42.750,43.350,41.980,42.980,17685397
2026-06-01,42.870,43.880,42.800,43.800,15462148
2026-06-02,43.530,44.000,43.100,43.270,13223393
2026-06-03,43.100,43.200,42.300,42.410,14511256
2026-06-04,42.200,42.250,41.080,41.250,19385926
2026-06-05,41.240,41.370,40.410,40.500,19669004
2026-06-08,40.150,41.490,40.040,40.600,19383153
2026-06-09,40.460,41.160,39.910,41.140,15912197
2026-06-10,40.990,41.970,40.790,41.050,12057977
2026-06-11,40.770,41.990,40.540,41.620,18387480
2026-06-12,41.960,45.000,41.960,44.610,47764317
2026-06-15,43.690,44.350,43.140,43.280,25562499
2026-06-16,43.180,43.530,42.440,42.480,17199670
2026-06-17,42.280,42.540,41.720,42.140,14725337
2026-06-18,41.910,42.280,41.100,41.270,15347268
2026-06-22,40.880,41.820,40.580,41.800,17712373
2026-06-23,41.650,42.040,40.900,40.930,14938364
2026-06-24,40.900,41.100,40.520,40.620,12284005
2026-06-25,40.600,40.790,39.880,39.940,15502793
2026-06-26,39.610,40.770,38.600,40.590,25743760
2026-06-29,40.400,40.850,39.350,40.040,15474591
2026-06-30,39.920,41.360,39.920,41.100,19532799
2026-07-01,41.000,41.890,40.600,41.280,17566704
2026-07-02,41.080,41.680,40.780,40.780,15559474
2026-07-03,40.780,41.750,40.760,41.630,20185483
2026-07-06,41.630,41.890,40.810,40.830,14152799
2026-07-07,40.830,40.930,40.010,40.390,12628887
2026-07-08,40.390,40.390,39.810,39.810,8866177
2026-07-09,39.750,39.950,39.060,39.750,12689551
2026-07-10,39.530,41.350,39.250,40.350,22686437
2026-07-13,40.200,40.200,38.910,39.120,17450990
2026-07-14,38.990,39.060,38.380,38.860,11123195
2026-07-15,38.330,40.150,38.000,39.790,20791863
2026-07-16,39.610,40.090,39.500,39.950,12211338
2026-07-17,39.800,40.730,39.660,40.210,20306023
